Ontology ID;Ontology Name;Custom Label;Link;Roles;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000046;adsorptive stripping voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000046;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000047;cathodic stripping voltammetry;;http://purl.obolibrary.org/obo/CHMO_0000047;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000057;luminescence detection;;http://purl.obolibrary.org/obo/CHMO_0001709;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000058;chemiluminescence detection;;http://purl.obolibrary.org/obo/CHMO_0000058;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000059;sonochemiluminescence detection;;http://purl.obolibrary.org/obo/CHMO_0000059;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000060;fluorescence detection;;http://purl.obolibrary.org/obo/CHMO_0000060;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000061;flow cytometry;;http://purl.obolibrary.org/obo/CHMO_0000061;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000062;Forster resonance energy transfer;;http://purl.obolibrary.org/obo/CHMO_0000062;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000063;bioluminescence resonance energy transfer;;http://purl.obolibrary.org/obo/CHMO_0000063;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000064;fluorescence resonance energy transfer;;http://purl.obolibrary.org/obo/CHMO_0000064;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000065;fluorescence recovery after photobleaching;;http://purl.obolibrary.org/obo/CHMO_0000065;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000066;time-resolved fluorescence quenching;;http://purl.obolibrary.org/obo/CHMO_0000066;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000067;microscopy;;http://purl.obolibrary.org/obo/CHMO_0000067;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000068;electron microscopy;;http://purl.obolibrary.org/obo/CHMO_0000068;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000069;field-emission electron microscopy;;http://purl.obolibrary.org/obo/CHMO_0000069;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000070;low-energy electron microscopy;;http://purl.obolibrary.org/obo/CHMO_0000070;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000071;spin-polarised low energy electron microscopy;;http://purl.obolibrary.org/obo/CHMO_0000071;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000072;reflection electron microscopy;;http://purl.obolibrary.org/obo/CHMO_0000072;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000073;scanning electron microscopy;;http://purl.obolibrary.org/obo/CHMO_0000073;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000074;field-emission scanning electron microscopy;;http://purl.obolibrary.org/obo/CHMO_0000074;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000075;cold-field-emission scanning electron microscopy;;http://purl.obolibrary.org/obo/CHMO_0000075;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000076;environmental scanning electron microscopy;;http://purl.obolibrary.org/obo/CHMO_0000076;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000077;scanning electron microscopy energy dispersive X-ray spectroscopy;;http://purl.obolibrary.org/obo/CHMO_0000077;;;;;;;;;;;;;;;;;;;;;;;;;
CHMO:0000078;scanning electron acoustic microscopy;;http://purl.obolibrary.org/obo/CHMO_0000078;;;;;;;;;;;;;;;;;;;;;;;;;
